"","Truck_Name","Truck_Role","Tyre","Tyre_Type","Tyre_Coefficient"
"171","Caterpillar CT681","Heavy Duty","UAD III Chains","Mud",1.3
"172","Caterpillar CT681","Heavy Duty","UOD I","Asphalt",1
"173","Caterpillar CT681","Heavy Duty","UOD I","Dirt",3
"174","Caterpillar CT681","Heavy Duty","UOD I","Mud",1.5
"175","Caterpillar CT681","Heavy Duty","UOD II","Asphalt",0.8
"176","Caterpillar CT681","Heavy Duty","UOD II","Dirt",3
"177","Caterpillar CT681","Heavy Duty","UOD II","Mud",1.9
"178","Caterpillar CT681","Heavy Duty","UOD III","Asphalt",0.8
"179","Caterpillar CT681","Heavy Duty","UOD III","Dirt",3.2
"180","Caterpillar CT681","Heavy Duty","UOD III","Mud",1.5
"181","Chevrolet Kodiak C70","Heavy Duty","UHD I","Asphalt",3
"182","Chevrolet Kodiak C70","Heavy Duty","UHD I","Dirt",1
"183","Chevrolet Kodiak C70","Heavy Duty","UHD I","Mud",0.4
"184","Chevrolet Kodiak C70","Heavy Duty","UHD II","Asphalt",3
"185","Chevrolet Kodiak C70","Heavy Duty","UHD II","Dirt",1.2
"186","Chevrolet Kodiak C70","Heavy Duty","UHD II","Mud",0.2
"187","Chevrolet Kodiak C70","Heavy Duty","UHD III","Asphalt",3.2
"188","Chevrolet Kodiak C70","Heavy Duty","UHD III","Dirt",1
"189","Chevrolet Kodiak C70","Heavy Duty","UHD III","Mud",0.2
"190","Chevrolet Kodiak C70","Heavy Duty","UAD I","Asphalt",1.9
"191","Chevrolet Kodiak C70","Heavy Duty","UAD I","Dirt",1.5
"192","Chevrolet Kodiak C70","Heavy Duty","UAD I","Mud",1
"193","Chevrolet Kodiak C70","Heavy Duty","UAD II","Asphalt",1.5
"194","Chevrolet Kodiak C70","Heavy Duty","UAD II","Dirt",1.5
"195","Chevrolet Kodiak C70","Heavy Duty","UAD II","Mud",1.2
"196","Chevrolet Kodiak C70","Heavy Duty","UAD III","Asphalt",1.5
"197","Chevrolet Kodiak C70","Heavy Duty","UAD III","Dirt",1.7
"198","Chevrolet Kodiak C70","Heavy Duty","UAD III","Mud",1
"199","Chevrolet Kodiak C70","Heavy Duty","UAD III Chains","Asphalt",1.2
"200","Chevrolet Kodiak C70","Heavy Duty","UAD III Chains","Dirt",3
"201","Chevrolet Kodiak C70","Heavy Duty","UAD III Chains","Mud",1.3
"202","Chevrolet Kodiak C70","Heavy Duty","UOD I","Asphalt",1
"203","Chevrolet Kodiak C70","Heavy Duty","UOD I","Dirt",3
"204","Chevrolet Kodiak C70","Heavy Duty","UOD I","Mud",1.5
"205","Chevrolet Kodiak C70","Heavy Duty","UOD II","Asphalt",0.8
"206","Chevrolet Kodiak C70","Heavy Duty","UOD II","Dirt",3
"207","Chevrolet Kodiak C70","Heavy Duty","UOD II","Mud",1.9
"208","Chevrolet Kodiak C70","Heavy Duty","UOD III","Asphalt",0.8
"209","Chevrolet Kodiak C70","Heavy Duty","UOD III","Dirt",3.2
"210","Chevrolet Kodiak C70","Heavy Duty","UOD III","Mud",1.5
"211","Fleetstar F2070A","Heavy Duty","UHD I","Asphalt",3
"212","Fleetstar F2070A","Heavy Duty","UHD I","Dirt",1
"213","Fleetstar F2070A","Heavy Duty","UHD I","Mud",0.4
"214","Fleetstar F2070A","Heavy Duty","UHD II","Asphalt",3
"215","Fleetstar F2070A","Heavy Duty","UHD II","Dirt",1.2
"216","Fleetstar F2070A","Heavy Duty","UHD II","Mud",0.2
"217","Fleetstar F2070A","Heavy Duty","UHD III","Asphalt",3.2
"218","Fleetstar F2070A","Heavy Duty","UHD III","Dirt",1
"219","Fleetstar F2070A","Heavy Duty","UHD III","Mud",0.2
"220","Fleetstar F2070A","Heavy Duty","UAD I","Asphalt",1.9
"221","Fleetstar F2070A","Heavy Duty","UAD I","Dirt",1.5
"222","Fleetstar F2070A","Heavy Duty","UAD I","Mud",1
"223","Fleetstar F2070A","Heavy Duty","UAD II","Asphalt",1.5
"224","Fleetstar F2070A","Heavy Duty","UAD II","Dirt",1.5
"225","Fleetstar F2070A","Heavy Duty","UAD II","Mud",1.2
"226","Fleetstar F2070A","Heavy Duty","UAD III","Asphalt",1.5
"227","Fleetstar F2070A","Heavy Duty","UAD III","Dirt",1.7
"228","Fleetstar F2070A","Heavy Duty","UAD III","Mud",1
"229","Fleetstar F2070A","Heavy Duty","UAD III Chains","Asphalt",1.2
"230","Fleetstar F2070A","Heavy Duty","UAD III Chains","Dirt",3
"231","Fleetstar F2070A","Heavy Duty","UAD III Chains","Mud",1.3
"232","Fleetstar F2070A","Heavy Duty","UOD I","Asphalt",1
"233","Fleetstar F2070A","Heavy Duty","UOD I","Dirt",3
"234","Fleetstar F2070A","Heavy Duty","UOD I","Mud",1.5
"235","Fleetstar F2070A","Heavy Duty","UOD II","Asphalt",0.8
"236","Fleetstar F2070A","Heavy Duty","UOD II","Dirt",3
"237","Fleetstar F2070A","Heavy Duty","UOD II","Mud",1.9
"238","Fleetstar F2070A","Heavy Duty","UOD III","Asphalt",0.8
"239","Fleetstar F2070A","Heavy Duty","UOD III","Dirt",3.2
"240","Fleetstar F2070A","Heavy Duty","UOD III","Mud",1.5
"241","GMC Brigadier 8000","Heavy Duty","UHD I","Asphalt",3
"242","GMC Brigadier 8000","Heavy Duty","UHD I","Dirt",1
"243","GMC Brigadier 8000","Heavy Duty","UHD I","Mud",0.4
"244","GMC Brigadier 8000","Heavy Duty","UHD II","Asphalt",3
"245","GMC Brigadier 8000","Heavy Duty","UHD II","Dirt",1.2
"246","GMC Brigadier 8000","Heavy Duty","UHD II","Mud",0.2
"247","GMC Brigadier 8000","Heavy Duty","UHD III","Asphalt",3.2
"248","GMC Brigadier 8000","Heavy Duty","UHD III","Dirt",1
"249","GMC Brigadier 8000","Heavy Duty","UHD III","Mud",0.2
"250","GMC Brigadier 8000","Heavy Duty","UAD I","Asphalt",1.9
"251","GMC Brigadier 8000","Heavy Duty","UAD I","Dirt",1.5
"252","GMC Brigadier 8000","Heavy Duty","UAD I","Mud",1
"253","GMC Brigadier 8000","Heavy Duty","UAD II","Asphalt",1.5
"254","GMC Brigadier 8000","Heavy Duty","UAD II","Dirt",1.5
"255","GMC Brigadier 8000","Heavy Duty","UAD II","Mud",1.2
"256","GMC Brigadier 8000","Heavy Duty","UAD III","Asphalt",1.5
"257","GMC Brigadier 8000","Heavy Duty","UAD III","Dirt",1.7
"258","GMC Brigadier 8000","Heavy Duty","UAD III","Mud",1
"259","GMC Brigadier 8000","Heavy Duty","UAD III Chains","Asphalt",1.2
"260","GMC Brigadier 8000","Heavy Duty","UAD III Chains","Dirt",3
"261","GMC Brigadier 8000","Heavy Duty","UAD III Chains","Mud",1.3
"262","GMC Brigadier 8000","Heavy Duty","UOD I","Asphalt",1
"263","GMC Brigadier 8000","Heavy Duty","UOD I","Dirt",3
"264","GMC Brigadier 8000","Heavy Duty","UOD I","Mud",1.5
"265","GMC Brigadier 8000","Heavy Duty","UOD II","Asphalt",0.8
"266","GMC Brigadier 8000","Heavy Duty","UOD II","Dirt",3
"267","GMC Brigadier 8000","Heavy Duty","UOD II","Mud",1.9
"268","GMC Brigadier 8000","Heavy Duty","UOD III","Asphalt",0.8
"269","GMC Brigadier 8000","Heavy Duty","UOD III","Dirt",3.2
"270","GMC Brigadier 8000","Heavy Duty","UOD III","Mud",1.5
"271","International HX 520","Heavy Duty","UHD I","Asphalt",3
"272","International HX 520","Heavy Duty","UHD I","Dirt",1
"273","International HX 520","Heavy Duty","UHD I","Mud",0.4
"274","International HX 520","Heavy Duty","UHD II","Asphalt",3
"275","International HX 520","Heavy Duty","UHD II","Dirt",1.2
"276","International HX 520","Heavy Duty","UHD II","Mud",0.2
"277","International HX 520","Heavy Duty","UHD III","Asphalt",3.2
"278","International HX 520","Heavy Duty","UHD III","Dirt",1
"279","International HX 520","Heavy Duty","UHD III","Mud",0.2
"280","International HX 520","Heavy Duty","UAD I","Asphalt",1.9
"281","International HX 520","Heavy Duty","UAD I","Dirt",1.5
"282","International HX 520","Heavy Duty","UAD I","Mud",1
"283","International HX 520","Heavy Duty","UAD II","Asphalt",1.5
"284","International HX 520","Heavy Duty","UAD II","Dirt",1.5
"285","International HX 520","Heavy Duty","UAD II","Mud",1.2
"286","International HX 520","Heavy Duty","UAD III","Asphalt",1.5
"287","International HX 520","Heavy Duty","UAD III","Dirt",1.7
"288","International HX 520","Heavy Duty","UAD III","Mud",1
"289","International HX 520","Heavy Duty","UAD III Chains","Asphalt",1.2
"290","International HX 520","Heavy Duty","UAD III Chains","Dirt",3
"291","International HX 520","Heavy Duty","UAD III Chains","Mud",1.3
"292","International HX 520","Heavy Duty","UOD I","Asphalt",1
"293","International HX 520","Heavy Duty","UOD I","Dirt",3
"294","International HX 520","Heavy Duty","UOD I","Mud",1.5
"295","International HX 520","Heavy Duty","UOD II","Asphalt",0.8
"296","International HX 520","Heavy Duty","UOD II","Dirt",3
"297","International HX 520","Heavy Duty","UOD II","Mud",1.9
"298","International HX 520","Heavy Duty","UOD III","Asphalt",0.8
"299","International HX 520","Heavy Duty","UOD III","Dirt",3.2
"300","International HX 520","Heavy Duty","UOD III","Mud",1.5
"301","White Western Star 4964","Heavy Duty","UHD I","Asphalt",3
"302","White Western Star 4964","Heavy Duty","UHD I","Dirt",1
"303","White Western Star 4964","Heavy Duty","UHD I","Mud",0.4
"304","White Western Star 4964","Heavy Duty","UHD II","Asphalt",3
"305","White Western Star 4964","Heavy Duty","UHD II","Dirt",1.2
"306","White Western Star 4964","Heavy Duty","UHD II","Mud",0.2
"307","White Western Star 4964","Heavy Duty","UHD III","Asphalt",3.2
"308","White Western Star 4964","Heavy Duty","UHD III","Dirt",1
"309","White Western Star 4964","Heavy Duty","UHD III","Mud",0.2
"310","White Western Star 4964","Heavy Duty","UAD I","Asphalt",1.9
"311","White Western Star 4964","Heavy Duty","UAD I","Dirt",1.5
"312","White Western Star 4964","Heavy Duty","UAD I","Mud",1
"313","White Western Star 4964","Heavy Duty","UAD II","Asphalt",1.5
"314","White Western Star 4964","Heavy Duty","UAD II","Dirt",1.5
"315","White Western Star 4964","Heavy Duty","UAD II","Mud",1.2
"316","White Western Star 4964","Heavy Duty","UAD III","Asphalt",1.5
"317","White Western Star 4964","Heavy Duty","UAD III","Dirt",1.7
"318","White Western Star 4964","Heavy Duty","UAD III","Mud",1
"319","White Western Star 4964","Heavy Duty","UAD III Chains","Asphalt",1.2
"320","White Western Star 4964","Heavy Duty","UAD III Chains","Dirt",3
"321","White Western Star 4964","Heavy Duty","UAD III Chains","Mud",1.3
"322","White Western Star 4964","Heavy Duty","UOD I","Asphalt",1
"323","White Western Star 4964","Heavy Duty","UOD I","Dirt",3
"324","White Western Star 4964","Heavy Duty","UOD I","Mud",1.5
"325","White Western Star 4964","Heavy Duty","UOD II","Asphalt",0.8
"326","White Western Star 4964","Heavy Duty","UOD II","Dirt",3
"327","White Western Star 4964","Heavy Duty","UOD II","Mud",1.9
"328","White Western Star 4964","Heavy Duty","UOD III","Asphalt",0.8
"329","White Western Star 4964","Heavy Duty","UOD III","Dirt",3.2
"330","White Western Star 4964","Heavy Duty","UOD III","Mud",1.5
"331","Aramatsu Forester","Heavy","MHS II","Asphalt",0.5
"332","Aramatsu Forester","Heavy","MHS II","Dirt",2
"333","Aramatsu Forester","Heavy","MHS II","Mud",2.4
"334","Aramatsu Forester","Heavy","MHS III","Asphalt",0.5
"335","Aramatsu Forester","Heavy","MHS III","Dirt",2.4
"336","Aramatsu Forester","Heavy","MHS III","Mud",2
"337","Azov 42-20 Antarctic","Heavy","MSH I","Asphalt",0.5
"338","Azov 42-20 Antarctic","Heavy","MSH I","Dirt",1.7
"339","Azov 42-20 Antarctic","Heavy","MSH I","Mud",3
"340","Azov 42-20 Antarctic","Heavy","MSH II","Asphalt",0.5
"341","Azov 42-20 Antarctic","Heavy","MSH II","Dirt",1.7
"342","Azov 42-20 Antarctic","Heavy","MSH II","Mud",3.2
"343","Azov 42-20 Antarctic","Heavy","MSH III","Asphalt",0.5
"344","Azov 42-20 Antarctic","Heavy","MSH III","Dirt",2
"345","Azov 42-20 Antarctic","Heavy","MSH III","Mud",3
"346","Azov 42-20 Antarctic","Heavy","MSH IV","Asphalt",0.7
"347","Azov 42-20 Antarctic","Heavy","MSH IV","Dirt",1.7
"348","Azov 42-20 Antarctic","Heavy","MSH IV","Mud",3
"349","Azov 73210","Heavy","ATHS I","Asphalt",1.5
"350","Azov 73210","Heavy","ATHS I","Dirt",1.5
"351","Azov 73210","Heavy","ATHS I","Mud",1.2
"352","Azov 73210","Heavy","OHS I","Asphalt",1
"353","Azov 73210","Heavy","OHS I","Dirt",3
"354","Azov 73210","Heavy","OHS I","Mud",1.5
"355","Azov 73210","Heavy","OHS II","Asphalt",0.8
"356","Azov 73210","Heavy","OHS II","Dirt",3
"357","Azov 73210","Heavy","OHS II","Mud",1.8
"358","Azov 73210","Heavy","MHS I","Asphalt",0.5
"359","Azov 73210","Heavy","MHS I","Dirt",2
"360","Azov 73210","Heavy","MHS I","Mud",2
"361","Azov 73210","Heavy","MHS I Chains","Asphalt",1.2
"362","Azov 73210","Heavy","MHS I Chains","Dirt",3
"363","Azov 73210","Heavy","MHS I Chains","Mud",1.3
"364","Azov 73210","Heavy","DMHS I","Asphalt",0.5
"365","Azov 73210","Heavy","DMHS I","Dirt",2
"366","Azov 73210","Heavy","DMHS I","Mud",2
"367","Azov 73210","Heavy","DMHS II","Asphalt",0.5
"368","Azov 73210","Heavy","DMHS II","Dirt",2
"369","Azov 73210","Heavy","DMHS II","Mud",2
"370","Azov 73210","Heavy","DMHS III","Asphalt",0.5
"371","Azov 73210","Heavy","DMHS III","Dirt",2
"372","Azov 73210","Heavy","DMHS III","Mud",2
"373","BOAR 45318","Heavy","UHD I","Asphalt",3
"374","BOAR 45318","Heavy","UHD I","Dirt",1
"375","BOAR 45318","Heavy","UHD I","Mud",0.4
"376","BOAR 45318","Heavy","UHD II","Asphalt",3
"377","BOAR 45318","Heavy","UHD II","Dirt",1.2
"378","BOAR 45318","Heavy","UHD II","Mud",0.2
"379","BOAR 45318","Heavy","UHD III","Asphalt",3.2
"380","BOAR 45318","Heavy","UHD III","Dirt",1
"381","BOAR 45318","Heavy","UHD III","Mud",0.2
"382","BOAR 45318","Heavy","UAD I","Asphalt",1.9
"383","BOAR 45318","Heavy","UAD I","Dirt",1.5
"384","BOAR 45318","Heavy","UAD I","Mud",1
"385","BOAR 45318","Heavy","UAD II","Asphalt",1.5
"386","BOAR 45318","Heavy","UAD II","Dirt",1.5
"387","BOAR 45318","Heavy","UAD II","Mud",1.2
"388","BOAR 45318","Heavy","UAD III","Asphalt",1.5
"389","BOAR 45318","Heavy","UAD III","Dirt",1.7
"390","BOAR 45318","Heavy","UAD III","Mud",1
"391","BOAR 45318","Heavy","UAD III Chains","Asphalt",1.2
"392","BOAR 45318","Heavy","UAD III Chains","Dirt",3
"393","BOAR 45318","Heavy","UAD III Chains","Mud",1.3
"394","BOAR 45318","Heavy","OHD I","Asphalt",0.8
"395","BOAR 45318","Heavy","OHD I","Dirt",3
"396","BOAR 45318","Heavy","OHD I","Mud",1.9
"397","BOAR 45318","Heavy","OHD II","Asphalt",0.8
"398","BOAR 45318","Heavy","OHD II","Dirt",3.2
"399","BOAR 45318","Heavy","OHD II","Mud",1.5
"400","BOAR 45318","Heavy","OHD III","Asphalt",1
"401","BOAR 45318","Heavy","OHD III","Dirt",3
"402","BOAR 45318","Heavy","OHD III","Mud",1.5
"403","BOAR 45318","Heavy","OHD II Chains","Asphalt",1.2
"404","BOAR 45318","Heavy","OHD II Chains","Dirt",3
"405","BOAR 45318","Heavy","OHD II Chains","Mud",1.3
"406","BOAR 45318","Heavy","UOD I","Asphalt",1
"407","BOAR 45318","Heavy","UOD I","Dirt",3
"408","BOAR 45318","Heavy","UOD I","Mud",1.5
"409","BOAR 45318","Heavy","UOD II","Asphalt",0.8
"410","BOAR 45318","Heavy","UOD II","Dirt",3
"411","BOAR 45318","Heavy","UOD II","Mud",1.9
"412","BOAR 45318","Heavy","UOD III","Asphalt",0.8
"413","BOAR 45318","Heavy","UOD III","Dirt",3.2
"414","BOAR 45318","Heavy","UOD III","Mud",1.5
"415","Caterpillar 745C","Heavy","MSH I","Asphalt",0.5
"416","Caterpillar 745C","Heavy","MSH I","Dirt",1.7
"417","Caterpillar 745C","Heavy","MSH I","Mud",3
"418","Caterpillar 745C","Heavy","MSH II","Asphalt",0.5
"419","Caterpillar 745C","Heavy","MSH II","Dirt",1.7
"420","Caterpillar 745C","Heavy","MSH II","Mud",3.2
"421","Caterpillar 745C","Heavy","MSH III","Asphalt",0.5
"422","Caterpillar 745C","Heavy","MSH III","Dirt",2
"423","Caterpillar 745C","Heavy","MSH III","Mud",3
"424","Caterpillar 745C","Heavy","MSH IV","Asphalt",0.7
"425","Caterpillar 745C","Heavy","MSH IV","Dirt",1.7
"426","Caterpillar 745C","Heavy","MSH IV","Mud",3
"427","Caterpillar 770G","Heavy","770G Tires","Asphalt",0.5
"428","Caterpillar 770G","Heavy","770G Tires","Dirt",2
"429","Caterpillar 770G","Heavy","770G Tires","Mud",3.5
